Date,Item Name,Quantity Sold (kilo),Sales_count,Discount (Yes/No),Unit Selling Price (RMB/kg),monthOfyear
2020-07-03,Xixia Mushroom (1),15.29,69,0,19.8,7
2020-07-03,Yunnan Lettuces,36.709,83,0,6.0,7
2020-07-03,Yunnan Shengcai,36.309,93,0,8.0,7
2020-07-03,Zhuyecai,11.125,24,1,4.0,7
2020-07-04,Broccoli,42.815,97,0,14.0,7
2020-07-04,Chinese Cabbage,9.638,12,0,3.6,7
2020-07-04,Eggplant (2),33.045,65,0,7.0,7
2020-07-04,Huangbaicai (2),18.431,32,1,8.4,7
2020-07-04,Luosi Pepper,10.682,34,1,13.2,7
2020-07-04,Millet Pepper,3.4210000000000003,42,0,25.8,7
2020-07-04,Paopaojiao (Jingpin),45.815,121,0,7.6,7
2020-07-04,Qinggengsanhua,12.847,29,0,8.0,7
2020-07-04,Shanghaiqing,28.186,64,0,10.0,7
2020-07-04,Xixia Mushroom (1),14.532,77,1,17.8,7
2020-07-04,Yunnan Lettuces,43.33,105,1,5.6,7
2020-07-04,Yunnan Shengcai,51.205,141,0,8.0,7
2020-07-04,Zhuyecai,20.571,49,0,6.0,7
2020-07-05,Broccoli,42.365,82,0,14.0,7
2020-07-05,Chinese Cabbage,9.698,10,0,4.0,7
2020-07-05,Eggplant (2),26.966,50,1,6.8,7
2020-07-05,Hongshujian,55.159,147,0,6.0,7
2020-07-05,Huangbaicai (2),14.811,31,0,9.0,7
2020-07-05,Luosi Pepper,15.638,45,1,13.6,7
2020-07-05,Millet Pepper,3.6990000000000003,43,0,25.8,7
2020-07-05,Paopaojiao (Jingpin),53.874,144,0,7.6,7
2020-07-05,Qinggengsanhua,13.109,24,0,8.0,7
2020-07-05,Shanghaiqing,12.038,28,1,9.7,7
2020-07-05,Xixia Mushroom (1),18.406,83,0,19.8,7
2020-07-05,Yunnan Lettuces,12.594,28,0,6.0,7
2020-07-05,Yunnan Shengcai,34.249,92,1,7.8,7
2020-07-05,Zhuyecai,30.937,69,1,5.8,7
2020-07-06,Broccoli,24.434,52,1,13.2,7
2020-07-06,Chinese Cabbage,14.098,21,0,4.0,7
2020-07-06,Eggplant (2),8.96,19,0,8.0,7
2020-07-06,Hongshujian,15.903,39,0,6.0,7
2020-07-06,Huangbaicai (2),8.631,18,0,9.0,7
2020-07-06,Luosi Pepper,10.36,32,0,14.0,7
2020-07-06,Millet Pepper,3.064,38,0,25.8,7
2020-07-06,Paopaojiao (Jingpin),26.296,75,0,7.6,7
2020-07-06,Qinggengsanhua,18.287,34,0,9.0,7
2020-07-06,Shanghaiqing,13.458,30,0,10.0,7
2020-07-06,Xixia Mushroom (1),13.35,64,0,19.8,7
2020-07-06,Yunnan Lettuces,11.053,31,0,6.0,7
2020-07-06,Yunnan Shengcai,36.532,99,0,8.0,7
2020-07-06,Zhuyecai,14.131,27,0,6.0,7
2020-07-07,Broccoli,23.05,48,0,14.0,7
2020-07-07,Chinese Cabbage,14.828,24,1,3.5,7
2020-07-07,Eggplant (2),14.6,29,0,8.0,7
2020-07-07,Hongshujian,14.121,31,1,4.0,7
2020-07-07,Huangbaicai (2),8.897,19,0,9.0,7
2020-07-07,Luosi Pepper,11.96,44,0,14.0,7
2020-07-07,Millet Pepper,2.738,39,0,25.8,7
2020-07-07,Paopaojiao (Jingpin),8.51,26,0,8.0,7
2020-07-07,Qinggengsanhua,22.699,49,0,9.0,7
2020-07-07,Shanghaiqing,9.861,26,0,10.0,7
2020-07-07,Xixia Mushroom (1),14.533,77,0,19.8,7
2020-07-07,Yunnan Lettuces,28.214,68,0,6.0,7
2020-07-07,Yunnan Shengcai,30.058,79,0,10.0,7
2020-07-07,Zhuyecai,11.756,29,0,6.0,7
2020-07-08,Broccoli,24.641000000000002,52,0,14.0,7
2020-07-08,Chinese Cabbage,6.8100000000000005,9,0,4.0,7
2020-07-08,Eggplant (2),18.588,33,1,6.7,7
2020-07-08,Hongshujian,18.985,47,1,5.0,7
2020-07-08,Huangbaicai (2),13.7,26,0,9.0,7
2020-07-08,Luosi Pepper,20.043,62,1,10.0,7
2020-07-08,Millet Pepper,3.165,32,0,25.8,7
2020-07-08,Net Lotus Root (1),8.239,17,0,16.0,7
2020-07-08,Paopaojiao (Jingpin),22.055,64,0,8.0,7
2020-07-08,Qinggengsanhua,20.792,43,0,9.0,7
2020-07-08,Shanghaiqing,12.568999999999999,30,0,10.0,7
2020-07-08,Xixia Mushroom (1),14.827,70,0,19.8,7
2020-07-08,Yunnan Lettuces,9.732,26,0,6.0,7
2020-07-08,Yunnan Shengcai,21.339,57,0,10.0,7
2020-07-08,Zhuyecai,7.9270000000000005,14,0,6.0,7
2020-07-09,Broccoli,25.205000000000002,54,0,14.0,7
2020-07-09,Chinese Cabbage,23.142,23,0,4.0,7
2020-07-09,Eggplant (2),9.949,18,0,8.0,7
2020-07-09,Hongshujian,19.198,49,0,6.0,7
2020-07-09,Huangbaicai (2),8.298,16,0,9.0,7
2020-07-09,Luosi Pepper,9.917,28,0,14.0,7
2020-07-09,Millet Pepper,1.875,31,0,25.8,7
2020-07-09,Paopaojiao (Jingpin),31.46,91,0,8.0,7
2020-07-09,Qinggengsanhua,15.926,35,0,9.0,7
2020-07-09,Shanghaiqing,10.182,26,0,10.0,7
2020-07-09,Xixia Mushroom (1),10.544,51,0,19.8,7
2020-07-09,Yunnan Lettuces,14.213000000000001,35,0,6.0,7
2020-07-09,Yunnan Shengcai,33.109,90,0,10.0,7
2020-07-09,Zhuyecai,17.546,42,0,6.0,7
2020-07-10,Broccoli,27.932,63,1,12.6,7
2020-07-10,Chinese Cabbage,16.759,19,1,3.6,7
2020-07-10,Eggplant (2),15.789,27,1,7.2,7
2020-07-10,Hongshujian,17.277,46,1,3.4,7
2020-07-10,Huangbaicai (2),11.604,24,1,7.6,7
2020-07-10,Luosi Pepper,21.339,62,1,10.8,7
2020-07-10,Millet Pepper,3.835,48,1,23.2,7
2020-07-10,Net Lotus Root (1),6.45,17,1,15.1,7
2020-07-10,Paopaojiao (Jingpin),21.454,67,1,9.0,7
2020-07-10,Qinggengsanhua,34.412,73,1,2.4,7
2020-07-10,Shanghaiqing,12.777000000000001,31,1,8.6,7
2020-07-10,Xixia Mushroom (1),10.17,48,1,13.6,7
2020-07-10,Yunnan Lettuces,28.278,74,1,5.5,7
2020-07-10,Yunnan Shengcai,13.582,37,1,9.1,7
2020-07-10,Zhuyecai,19.284,42,1,4.0,7
2020-07-11,Broccoli,36.721000000000004,67,1,10.3,7
2020-07-11,Chinese Cabbage,7.665,10,1,2.8,7
2020-07-11,Eggplant (2),34.025,66,1,6.8,7
2020-07-11,Hongshujian,14.35,36,1,5.1,7
2020-07-11,Huangbaicai (2),31.025,56,1,0.5,7
2020-07-11,Luosi Pepper,36.705,111,1,10.1,7
2020-07-11,Millet Pepper,4.151,40,1,16.3,7
2020-07-11,Net Lotus Root (1),7.464,18,1,14.4,7
2020-07-11,Paopaojiao (Jingpin),23.279,61,1,8.4,7
2020-07-11,Qinggengsanhua,39.842999999999996,72,1,1.7,7
2020-07-11,Shanghaiqing,22.47,49,1,9.2,7
2020-07-11,Xixia Mushroom (1),19.213,81,1,15.3,7
2020-07-11,Yunnan Lettuces,48.585,119,1,3.5,7
2020-07-11,Yunnan Shengcai,20.063,53,1,4.6,7
2020-07-11,Zhuyecai,23.588,57,1,4.2,7
2020-07-12,Broccoli,40.69,85,1,9.6,7
2020-07-12,Chinese Cabbage,17.036,20,1,3.6,7
2020-07-12,Eggplant (2),41.141,68,1,1.5,7
2020-07-12,Hongshujian,13.096,36,1,5.4,7
2020-07-12,Huangbaicai (2),32.833999999999996,62,1,0.4,7
2020-07-12,Luosi Pepper,6.255,24,1,6.4,7
2020-07-12,Millet Pepper,5.121,53,1,22.2,7
2020-07-12,Net Lotus Root (1),9.317,22,1,14.0,7
2020-07-12,Paopaojiao (Jingpin),37.995,116,1,5.6,7
2020-07-12,Qinggengsanhua,30.925,63,1,5.6,7
2020-07-12,Shanghaiqing,13.802,32,1,9.0,7
2020-07-12,Xixia Mushroom (1),15.752,73,1,15.8,7
2020-07-12,Yunnan Lettuces,66.768,166,1,3.2,7
2020-07-12,Yunnan Shengcai,30.038,81,1,7.9,7
2020-07-12,Zhuyecai,33.063,74,1,4.3,7
2020-07-13,Broccoli,15.624,35,1,12.1,7
2020-07-13,Chinese Cabbage,18.292,18,1,3.6,7
2020-07-13,Eggplant (2),19.637999999999998,39,1,6.8,7
2020-07-13,Hongshujian,15.786,37,1,2.8,7
2020-07-13,Huangbaicai (2),11.192,22,1,4.6,7
2020-07-13,Luosi Pepper,11.827,32,1,7.3,7
2020-07-13,Millet Pepper,3.457,28,1,22.7,7
2020-07-13,Net Lotus Root (1),8.507,21,1,13.6,7
2020-07-13,Paopaojiao (Jingpin),28.12,77,1,8.3,7
2020-07-13,Qinggengsanhua,16.404,38,1,5.2,7
2020-07-13,Shanghaiqing,12.507,29,1,7.3,7
2020-07-13,Xixia Mushroom (1),13.317,57,1,16.8,7
2020-07-13,Yunnan Lettuces,25.289,64,1,5.1,7
2020-07-13,Yunnan Shengcai,32.985,87,1,8.1,7
2020-07-13,Zhuyecai,12.389,31,1,2.9,7
2020-07-14,Broccoli,27.221,57,1,12.5,7
2020-07-14,Chinese Cabbage,13.620000000000001,14,0,4.0,7
2020-07-14,Eggplant (2),13.059,25,1,7.0,7
2020-07-14,Hongshujian,36.337,94,1,5.2,7
2020-07-14,Huangbaicai (2),6.773,16,1,8.1,7
2020-07-14,Luosi Pepper,21.389,52,1,8.7,7
2020-07-14,Millet Pepper,2.997,33,0,25.8,7
2020-07-14,Net Lotus Root (1),7.684,18,1,14.9,7
2020-07-14,Paopaojiao (Jingpin),28.133,78,1,7.5,7
2020-07-14,Qinggengsanhua,30.354,58,1,4.7,7
2020-07-14,Shanghaiqing,10.514000000000001,25,0,10.0,7
2020-07-14,Xixia Mushroom (1),12.269,62,1,17.1,7
2020-07-14,Yunnan Lettuces,32.024,77,1,4.7,7
2020-07-14,Yunnan Shengcai,25.063,73,1,9.6,7
2020-07-14,Zhuyecai,11.935,25,1,3.8,7
2020-07-15,Broccoli,18.8,40,1,12.1,7
2020-07-15,Chinese Cabbage,31.647,34,1,2.3,7
2020-07-15,Eggplant (2),13.849,30,1,6.9,7
2020-07-15,Hongshujian,15.602,33,1,5.1,7
2020-07-15,Huangbaicai (2),19.145,38,0,9.0,7
2020-07-15,Luosi Pepper,19.574,52,0,10.0,7
2020-07-15,Millet Pepper,1.188,14,0,25.8,7
2020-07-15,Net Lotus Root (1),8.422,17,1,13.1,7
2020-07-15,Paopaojiao (Jingpin),35.74,103,1,7.1,7
2020-07-15,Qinggengsanhua,19.162,37,1,5.2,7
2020-07-15,Shanghaiqing,15.176,39,0,10.0,7
2020-07-15,Xixia Mushroom (1),7.755,40,1,17.6,7
2020-07-15,Yunnan Lettuces,43.618,112,1,4.6,7
2020-07-15,Yunnan Shengcai,23.584,68,1,8.2,7
2020-07-15,Zhuyecai,14.196,32,1,3.6,7
2020-07-16,Broccoli,23.379,52,1,12.3,7
2020-07-16,Chinese Cabbage,22.319,28,1,2.7,7
2020-07-16,Eggplant (2),7.693,17,1,2.4,7
2020-07-16,Hongshujian,15.77,39,1,5.4,7
2020-07-16,Huangbaicai (2),17.476,37,1,6.8,7
2020-07-16,Luosi Pepper,19.027,51,1,1.2,7
2020-07-16,Millet Pepper,2.589,22,1,21.6,7
2020-07-16,Net Lotus Root (1),8.467,20,1,14.6,7
2020-07-16,Paopaojiao (Jingpin),34.817,95,1,1.5,7
2020-07-16,Qinggengsanhua,16.071,31,1,0.5,7
2020-07-16,Shanghaiqing,13.959,35,0,10.0,7
2020-07-16,Xixia Mushroom (1),15.428,74,1,12.8,7
2020-07-16,Yunnan Lettuces,44.285,102,1,0.7,7
2020-07-16,Yunnan Shengcai,25.015,72,1,0.4,7
2020-07-16,Zhuyecai,18.904,47,1,3.3,7
2020-07-17,Broccoli,25.149,55,1,1.9,7
2020-07-17,Chinese Cabbage,26.681,30,1,2.6,7
2020-07-17,Eggplant (2),15.891,29,1,7.2,7
2020-07-17,Hongshujian,16.789,44,1,5.1,7
2020-07-17,Huangbaicai (2),8.62,17,1,5.4,7
2020-07-17,Luosi Pepper,11.549,33,1,5.3,7
2020-07-17,Millet Pepper,2.32,27,1,21.9,7
2020-07-17,Net Lotus Root (1),7.809,20,0,16.0,7
2020-07-17,Paopaojiao (Jingpin),27.92,83,1,6.8,7
2020-07-17,Qinggengsanhua,19.049,37,1,5.4,7
2020-07-17,Shanghaiqing,8.591,22,1,3.3,7
2020-07-17,Xixia Mushroom (1),15.599,74,1,4.8,7
2020-07-17,Yunnan Lettuces,35.251,84,1,2.0,7
2020-07-17,Yunnan Shengcai,27.073,81,1,8.8,7
2020-07-17,Zhuyecai,13.243,30,1,0.9,7
2020-07-18,Broccoli,35.15,76,1,11.5,7
2020-07-18,Chinese Cabbage,15.537,18,1,2.6,7
2020-07-18,Eggplant (2),18.058,32,1,6.8,7
2020-07-18,Hongshujian,43.243,101,1,0.4,7
2020-07-18,Huangbaicai (2),17.709,34,1,3.3,7
2020-07-18,Luosi Pepper,26.28,69,1,0.9,7
2020-07-18,Millet Pepper,3.644,42,1,22.2,7
2020-07-18,Net Lotus Root (1),8.575,18,1,14.0,7
2020-07-18,Paopaojiao (Jingpin),26.14,88,1,3.7,7
2020-07-18,Qinggengsanhua,25.938,52,1,5.0,7
2020-07-18,Shanghaiqing,22.741,54,1,8.7,7
2020-07-18,Xixia Mushroom (1),22.47,107,1,2.7,7
2020-07-18,Yunnan Lettuces,51.307,122,1,0.8,7
2020-07-18,Yunnan Shengcai,40.398,112,1,6.5,7
2020-07-18,Zhuyecai,8.314,17,0,4.0,7
2020-07-19,Broccoli,44.79,105,1,12.1,7
2020-07-19,Chinese Cabbage,20.05,22,1,3.2,7
2020-07-19,Eggplant (2),35.706,65,1,5.9,7
2020-07-19,Hongshujian,13.55,37,1,4.1,7
2020-07-19,Huangbaicai (2),26.876,55,1,7.2,7
2020-07-19,Luosi Pepper,33.121,95,1,7.7,7
2020-07-19,Millet Pepper,3.107,36,1,23.8,7
2020-07-19,Net Lotus Root (1),8.667,18,1,13.7,7
2020-07-19,Paopaojiao (Jingpin),43.211,117,1,8.1,7
2020-07-19,Qinggengsanhua,31.561,60,1,4.9,7
2020-07-19,Shanghaiqing,30.754,79,1,6.8,7
2020-07-19,Xixia Mushroom (1),33.406,166,1,8.7,7
2020-07-19,Yunnan Lettuces,76.615,176,1,2.0,7
2020-07-19,Yunnan Shengcai,37.151,102,1,1.7,7
2020-07-19,Zhuyecai,21.41,51,1,3.2,7
2020-07-20,Broccoli,16.811,42,1,3.0,7
2020-07-20,Chinese Cabbage,21.031,22,1,3.3,7
2020-07-20,Eggplant (2),14.362,24,1,7.0,7
2020-07-20,Hongshujian,46.066,115,1,3.6,7
2020-07-20,Huangbaicai (2),9.833,22,1,8.4,7
2020-07-20,Luosi Pepper,21.283,65,1,4.4,7
2020-07-20,Millet Pepper,2.612,26,0,19.8,7
2020-07-20,Net Lotus Root (1),7.122,15,1,3.5,7
2020-07-20,Paopaojiao (Jingpin),29.836,97,1,1.6,7
2020-07-20,Qinggengsanhua,30.62,57,1,2.1,7
2020-07-20,Shanghaiqing,13.892,27,1,6.2,7
2020-07-20,Xixia Mushroom (1),13.335,72,1,17.3,7
2020-07-20,Yunnan Lettuces,12.579,33,1,3.6,7
2020-07-20,Yunnan Shengcai,30.473,83,1,6.6,7
2020-07-20,Zhuyecai,13.142,30,1,1.4,7
2020-07-21,Broccoli,22.063,57,1,3.7,7
2020-07-21,Chinese Cabbage,22.412,19,1,3.7,7
2020-07-21,Eggplant (2),11.416,23,0,8.0,7
2020-07-21,Hongshujian,20.183,47,1,3.9,7
2020-07-21,Huangbaicai (2),19.686,38,1,8.3,7
2020-07-21,Luosi Pepper,12.988,39,1,8.0,7
2020-07-21,Millet Pepper,2.012,20,1,18.3,7
2020-07-21,Net Lotus Root (1),7.829000000000001,17,1,14.0,7
2020-07-21,Paopaojiao (Jingpin),28.999,91,1,8.1,7
2020-07-21,Qinggengsanhua,26.942,57,1,5.4,7
2020-07-21,Shanghaiqing,14.746,34,1,1.9,7
2020-07-21,Xixia Mushroom (1),11.977,63,1,17.9,7
2020-07-21,Yunnan Lettuces,24.918,60,1,3.8,7
2020-07-21,Yunnan Shengcai,35.089,92,1,8.5,7
2020-07-21,Zhuyecai,11.029,24,1,3.6,7
2020-07-22,Broccoli,27.233,70,1,5.7,7
2020-07-22,Chinese Cabbage,24.174,23,1,3.7,7
2020-07-22,Eggplant (2),17.583,37,1,5.6,7
2020-07-22,Hongshujian,38.136,91,1,3.7,7
2020-07-22,Huangbaicai (2),26.618,51,1,7.7,7
2020-07-22,Luosi Pepper,34.669000000000004,97,1,6.0,7
2020-07-22,Millet Pepper,3.624,37,1,17.0,7
2020-07-22,Net Lotus Root (1),7.195,20,1,14.4,7
2020-07-22,Paopaojiao (Jingpin),29.557,90,1,7.6,7
2020-07-22,Qinggengsanhua,26.442,46,1,5.2,7
2020-07-22,Shanghaiqing,14.116,38,1,6.0,7
2020-07-22,Xixia Mushroom (1),14.979,75,1,4.1,7
2020-07-22,Yunnan Lettuces,15.854000000000001,38,1,3.2,7
2020-07-22,Yunnan Shengcai,30.681,92,1,5.6,7
2020-07-22,Zhuyecai,21.383,47,1,3.5,7
2020-07-23,Broccoli,17.907,50,1,13.0,7
2020-07-23,Chinese Cabbage,14.448,11,1,2.4,7
2020-07-23,Eggplant (2),19.791,34,1,5.0,7
2020-07-23,Hongshujian,45.051,115,1,0.4,7
2020-07-23,Huangbaicai (2),21.929,44,1,7.7,7
2020-07-23,Luosi Pepper,10.339,35,1,7.1,7
2020-07-23,Millet Pepper,3.7159999999999997,33,1,18.2,7
2020-07-23,Net Lotus Root (1),8.103,18,1,14.9,7
2020-07-23,Paopaojiao (Jingpin),26.695,79,1,7.8,7
2020-07-23,Qinggengsanhua,21.518,38,1,6.9,7
2020-07-23,Shanghaiqing,12.32,30,1,8.4,7
2020-07-23,Xixia Mushroom (1),10.538,50,1,17.0,7
2020-07-23,Yunnan Lettuces,17.281,48,1,7.2,7
2020-07-23,Yunnan Shengcai,20.035,58,1,8.5,7
2020-07-23,Zhuyecai,13.645,28,1,3.6,7
2020-07-24,Broccoli,18.533,40,1,1.7,7
2020-07-24,Eggplant (2),20.743,32,1,4.9,7
2020-07-24,Hongshujian,29.818,73,1,2.9,7
2020-07-24,Huangbaicai (2),16.246000000000002,32,1,7.4,7
2020-07-24,Luosi Pepper,7.431,23,1,6.9,7
2020-07-24,Millet Pepper,3.316,33,1,17.2,7
2020-07-24,Net Lotus Root (1),8.286,19,1,14.5,7
2020-07-24,Paopaojiao (Jingpin),34.992,94,1,6.6,7
2020-07-24,Qinggengsanhua,19.162,40,1,6.8,7
2020-07-24,Shanghaiqing,13.722,36,1,7.7,7
2020-07-24,Xixia Mushroom (1),12.286,53,1,16.9,7
2020-07-24,Yunnan Lettuces,20.215,46,1,6.8,7
2020-07-24,Yunnan Shengcai,21.268,55,1,8.8,7
2020-07-24,Zhuyecai,17.563,36,1,3.5,7
2020-07-25,Broccoli,28.771,69,1,10.0,7
2020-07-25,Chinese Cabbage,14.079,14,1,3.1,7
2020-07-25,Eggplant (2),12.684,24,1,6.8,7
2020-07-25,Hongshujian,15.949,45,1,0.1,7
2020-07-25,Huangbaicai (2),14.956,26,1,8.4,7
2020-07-25,Luosi Pepper,12.295,35,1,6.8,7
2020-07-25,Millet Pepper,4.233,46,1,16.8,7
2020-07-25,Net Lotus Root (1),8.529,18,1,6.0,7
2020-07-25,Paopaojiao (Jingpin),64.43900000000001,177,1,4.3,7
2020-07-25,Qinggengsanhua,28.65,51,1,5.5,7
2020-07-25,Shanghaiqing,14.813,36,1,8.0,7
2020-07-25,Xixia Mushroom (1),19.229,88,1,14.1,7
2020-07-25,Yunnan Lettuces,31.348,84,1,6.8,7
2020-07-25,Yunnan Shengcai,50.545,141,1,0.2,7
2020-07-25,Zhuyecai,16.003,37,1,4.2,7
2020-07-26,Broccoli,35.36,87,1,12.0,7
2020-07-26,Chinese Cabbage,12.538,16,1,3.5,7
2020-07-26,Eggplant (2),24.756999999999998,42,1,7.7,7
2020-07-26,Hongshujian,20.887,57,1,3.8,7
2020-07-26,Huangbaicai (2),31.428,60,1,5.7,7
2020-07-26,Luosi Pepper,13.76,44,1,6.7,7
2020-07-26,Millet Pepper,2.802,29,1,19.8,7
2020-07-26,Net Lotus Root (1),7.672,17,1,14.1,7
2020-07-26,Paopaojiao (Jingpin),66.736,192,1,6.7,7
2020-07-26,Qinggengsanhua,28.759,52,1,1.9,7
2020-07-26,Shanghaiqing,21.854,53,1,7.9,7
2020-07-26,Xixia Mushroom (1),23.105999999999998,98,1,16.8,7
2020-07-26,Yunnan Lettuces,23.951,61,1,5.1,7
2020-07-26,Yunnan Shengcai,54.457,143,1,0.7,7
2020-07-26,Zhuyecai,8.375,21,1,4.5,7
2020-07-27,Broccoli,21.696,52,1,12.3,7
2020-07-27,Chinese Cabbage,14.195,18,1,3.6,7
2020-07-27,Eggplant (2),9.768,20,0,9.0,7
2020-07-27,Hongshujian,13.227,34,1,4.8,7
2020-07-27,Huangbaicai (2),9.728,20,1,7.2,7
2020-07-27,Luosi Pepper,13.286999999999999,39,0,8.0,7
2020-07-27,Millet Pepper,3.811,42,1,19.8,7
2020-07-27,Net Lotus Root (1),13.548,25,1,10.3,7
2020-07-27,Paopaojiao (Jingpin),40.861,116,1,8.1,7
2020-07-27,Qinggengsanhua,21.18,36,1,1.1,7
2020-07-27,Shanghaiqing,18.377,42,1,8.2,7
2020-07-27,Xixia Mushroom (1),15.158,75,1,5.0,7
2020-07-27,Yunnan Lettuces,34.201,75,1,7.0,7
2020-07-27,Yunnan Shengcai,26.238,67,1,10.2,7
2020-07-27,Zhuyecai,13.433,28,1,1.5,7
2020-07-28,Broccoli,17.191,39,1,11.5,7
2020-07-28,Chinese Cabbage,14.305,21,1,3.0,7
2020-07-28,Eggplant (2),17.651,34,1,1.7,7
2020-07-28,Hongshujian,11.775,29,1,5.1,7
2020-07-28,Huangbaicai (2),23.794,47,1,7.0,7
2020-07-28,Luosi Pepper,8.986,31,1,7.0,7
2020-07-28,Millet Pepper,2.047,26,1,17.5,7
2020-07-28,Net Lotus Root (1),11.93,28,1,10.4,7
2020-07-28,Paopaojiao (Jingpin),41.195,118,1,6.7,7
2020-07-28,Qinggengsanhua,17.746,32,1,7.0,7
2020-07-28,Shanghaiqing,10.28,24,1,8.2,7
2020-07-28,Xixia Mushroom (1),12.207,58,1,9.0,7
2020-07-28,Yunnan Lettuces,31.664,72,1,0.5,7
2020-07-28,Yunnan Shengcai,18.663,57,1,6.8,7
2020-07-28,Zhuyecai,9.855,25,1,4.6,7
2020-07-29,Broccoli,25.701,57,1,12.3,7
2020-07-29,Chinese Cabbage,15.783999999999999,21,1,3.1,7
2020-07-29,Eggplant (2),18.252,33,1,8.1,7
2020-07-29,Hongshujian,14.818,36,1,5.1,7
2020-07-29,Huangbaicai (2),19.36,42,1,7.6,7
2020-07-29,Luosi Pepper,13.134,40,1,3.9,7
2020-07-29,Millet Pepper,2.188,30,1,7.7,7
2020-07-29,Net Lotus Root (1),16.53,29,1,11.4,7
2020-07-29,Paopaojiao (Jingpin),56.242,163,1,6.0,7
2020-07-29,Qinggengsanhua,16.519,37,1,7.2,7
2020-07-29,Shanghaiqing,14.113,37,1,7.7,7
2020-07-29,Xixia Mushroom (1),14.093,68,1,16.9,7
2020-07-29,Yunnan Lettuces,21.706,54,1,5.3,7
2020-07-29,Yunnan Shengcai,18.297,50,1,0.5,7
2020-07-29,Zhuyecai,15.43,35,1,1.3,7
2020-07-30,Broccoli,15.361,36,1,12.1,7
2020-07-30,Chinese Cabbage,19.804000000000002,23,1,2.7,7
2020-07-30,Eggplant (2),18.286,32,1,8.0,7
2020-07-30,Hongshujian,32.574,78,1,4.0,7
2020-07-30,Huangbaicai (2),16.584,32,1,8.0,7
2020-07-30,Luosi Pepper,23.376,72,1,4.9,7
2020-07-30,Millet Pepper,1.802,13,0,14.0,7
2020-07-30,Net Lotus Root (1),10.008000000000001,24,1,10.5,7
2020-07-30,Paopaojiao (Jingpin),30.611,95,1,7.6,7
2020-07-30,Qinggengsanhua,22.837,46,1,6.8,7
2020-07-30,Shanghaiqing,11.695,30,1,6.8,7
2020-07-30,Xixia Mushroom (1),11.704,63,1,12.7,7
2020-07-30,Yunnan Lettuces,14.35,43,1,6.9,7
2020-07-30,Yunnan Shengcai,28.595,68,1,8.2,7
2020-07-30,Zhuyecai,13.677,36,1,3.4,7
2020-07-31,Broccoli,15.867,29,0,14.0,7
2020-07-31,Chinese Cabbage,28.859,41,0,3.6,7
2020-07-31,Eggplant (2),14.177,26,0,9.0,7
2020-07-31,Hongshujian,14.017,40,0,7.0,7
2020-07-31,Huangbaicai (2),11.739,21,0,9.0,7
2020-07-31,Luosi Pepper,15.704,48,0,8.0,7
2020-07-31,Millet Pepper,1.533,19,0,14.0,7
2020-07-31,Net Lotus Root (1),17.846,32,0,11.0,7
2020-07-31,Paopaojiao (Jingpin),10.221,28,0,9.0,7
